Sample	Type	Group	Chr	Ratio	Mapped	Total
CpuY6	CPu	Young	chr13	0.0514	3034100	58997215
CpuY6	CPu	Young	chr14	0.0536	3160812	58997215
CpuY6	CPu	Young	chr15	0.0431	2545226	58997215
CpuY6	CPu	Young	chr16	0.0366	2159308	58997215
CpuY6	CPu	Young	chr17	0.04	2358302	58997215
CpuY6	CPu	Young	chr18	0.0335	1974054	58997215
CpuY6	CPu	Young	chr19	0.0276	1630384	58997215
CpuY6	CPu	Young	chrM	0.0098	578139	58997215
CpuY6	CPu	Young	chrX	0.0326	1920993	58997215
CpuY6	CPu	Young	chrY	0.0141	830502	58997215
CpuY6	CPu	Young	UnMapped	0.28	22942401	58997215
CpuY7	CPu	Young	chr1	0.0852	10324471	121126703
CpuY7	CPu	Young	chr2	0.0886	10730738	121126703
CpuY7	CPu	Young	chr3	0.0501	6066317	121126703
CpuY7	CPu	Young	chr4	0.0534	6464469	121126703
CpuY7	CPu	Young	chr5	0.0523	6334428	121126703
CpuY7	CPu	Young	chr6	0.0596	7222137	121126703
CpuY7	CPu	Young	chr7	0.0625	7570108	121126703
CpuY7	CPu	Young	chr8	0.0527	6379885	121126703
CpuY7	CPu	Young	chr9	0.049	5932916	121126703
CpuY7	CPu	Young	chr10	0.0476	5759787	121126703
CpuY7	CPu	Young	chr11	0.061	7391113	121126703
CpuY7	CPu	Young	chr12	0.0459	5559712	121126703
CpuY7	CPu	Young	chr13	0.0453	5486207	121126703
CpuY7	CPu	Young	chr14	0.0422	5109987	121126703
CpuY7	CPu	Young	chr15	0.0422	5108854	121126703
CpuY7	CPu	Young	chr16	0.0336	4069605	121126703
CpuY7	CPu	Young	chr17	0.0359	4349483	121126703
CpuY7	CPu	Young	chr18	0.0281	3405145	121126703
CpuY7	CPu	Young	chr19	0.0282	3420676	121126703
CpuY7	CPu	Young	chrM	0.1599	19370492	121126703
CpuY7	CPu	Young	chrX	0.0222	2686190	121126703
CpuY7	CPu	Young	chrY	0.0104	1261623	121126703
CpuY7	CPu	Young	UnMapped	0.06389999999999996	8271401	121126703
HipA1	Hip	Aged	chr1	0.1177	8720822	74078849
HipA1	Hip	Aged	chr2	0.0504	3735430	74078849
HipA1	Hip	Aged	chr3	0.0421	3121579	74078849
HipA1	Hip	Aged	chr4	0.0419	3102214	74078849
HipA1	Hip	Aged	chr5	0.0432	3198985	74078849
HipA1	Hip	Aged	chr6	0.0386	2862579	74078849
HipA1	Hip	Aged	chr7	0.035	2589441	74078849
HipA1	Hip	Aged	chr8	0.0293	2168599	74078849
HipA1	Hip	Aged	chr9	0.0341	2524386	74078849
HipA1	Hip	Aged	chr10	0.0342	2534711	74078849
HipA1	Hip	Aged	chr11	0.0304	2249373	74078849
HipA1	Hip	Aged	chr12	0.0309	2291250	74078849
HipA1	Hip	Aged	chr13	0.0304	2255552	74078849
HipA1	Hip	Aged	chr14	0.0376	2787119	74078849
HipA1	Hip	Aged	chr15	0.027	2000866	74078849
HipA1	Hip	Aged	chr16	0.0234	1732077	74078849
HipA1	Hip	Aged	chr17	0.0245	1814447	74078849
HipA1	Hip	Aged	chr18	0.0232	1719411	74078849
HipA1	Hip	Aged	chr19	0.0162	1200993	74078849
HipA1	Hip	Aged	chrM	0.3459	25622287	74078849
HipA1	Hip	Aged	chrX	0.0281	2084731	74078849
HipA1	Hip	Aged	chrY	0.0119	878989	74078849
HipA1	Hip	Aged	UnMapped	0.12470000000000003	10552345	74078849
HipA2	Hip	Aged	chr1	0.1021	8150682	79802510
HipA2	Hip	Aged	chr2	0.0674	5380488	79802510
HipA2	Hip	Aged	chr3	0.0464	3699753	79802510
HipA2	Hip	Aged	chr4	0.0453	3611639	79802510
HipA2	Hip	Aged	chr5	0.0515	4108874	79802510
HipA2	Hip	Aged	chr6	0.0443	3538670	79802510
HipA2	Hip	Aged	chr7	0.0493	3934717	79802510
HipA2	Hip	Aged	chr8	0.0371	2964072	79802510
HipA2	Hip	Aged	chr9	0.0438	3496221	79802510
HipA2	Hip	Aged	chr10	0.0459	3661793	79802510
HipA2	Hip	Aged	chr11	0.0417	3328489	79802510
HipA2	Hip	Aged	chr12	0.0384	3060535	79802510
HipA2	Hip	Aged	chr13	0.0366	2923301	79802510
HipA2	Hip	Aged	chr14	0.0379	3026349	79802510
HipA2	Hip	Aged	chr15	0.0321	2563565	79802510
HipA2	Hip	Aged	chr16	0.0288	2299523	79802510
HipA2	Hip	Aged	chr17	0.0304	2424845	79802510
HipA2	Hip	Aged	chr18	0.0315	2512880	79802510
HipA2	Hip	Aged	chr19	0.0232	1854969	79802510
HipA2	Hip	Aged	chrM	0.2312	18450976	79802510
HipA2	Hip	Aged	chrX	0.0311	2484690	79802510
HipA2	Hip	Aged	chrY	0.0114	910710	79802510
HipA2	Hip	Aged	UnMapped	0.14	12992416	79802510
HipA3	Hip	Aged	chr1	0.099	10183464	102831225
HipA3	Hip	Aged	chr2	0.0763	7849666	102831225
HipA3	Hip	Aged	chr3	0.046	4732254	102831225
HipA3	Hip	Aged	chr4	0.0426	4379833	102831225
HipA3	Hip	Aged	chr5	0.0495	5092499	102831225
HipA3	Hip	Aged	chr6	0.0428	4403694	102831225
HipA3	Hip	Aged	chr7	0.0451	4642264	102831225
HipA3	Hip	Aged	chr8	0.038	3906808	102831225
HipA3	Hip	Aged	chr9	0.0459	4718131	102831225
HipA3	Hip	Aged	chr10	0.0412	4234347	102831225
HipA3	Hip	Aged	chr11	0.0438	4500360	102831225
HipA3	Hip	Aged	chr12	0.0346	3555405	102831225
HipA3	Hip	Aged	chr13	0.0389	3998356	102831225
HipA3	Hip	Aged	chr14	0.036	3697848	102831225
HipA3	Hip	Aged	chr15	0.037	3803246	102831225
HipA3	Hip	Aged	chr16	0.0303	3118594	102831225
HipA3	Hip	Aged	chr17	0.0283	2914029	102831225
HipA3	Hip	Aged	chr18	0.0289	2975360	102831225
HipA3	Hip	Aged	chr19	0.0174	1785681	102831225
HipA3	Hip	Aged	chrM	0.2285	23500452	102831225
HipA3	Hip	Aged	chrX	0.0358	3683854	102831225
HipA3	Hip	Aged	chrY	0.0111	1140033	102831225
HipA3	Hip	Aged	UnMapped	0.1531	18586877	102831225
HipA4	Hip	Aged	chr1	0.1087	9823934	90354712
HipA4	Hip	Aged	chr2	0.0643	5810921	90354712
HipA4	Hip	Aged	chr3	0.0468	4230074	90354712
HipA4	Hip	Aged	chr4	0.0475	4289394	90354712
HipA4	Hip	Aged	chr5	0.0479	4330796	90354712
HipA4	Hip	Aged	chr6	0.0447	4034636	90354712
HipA4	Hip	Aged	chr7	0.0461	4167027	90354712
HipA4	Hip	Aged	chr8	0.0443	4004437	90354712
HipA4	Hip	Aged	chr9	0.0516	4662448	90354712
HipA4	Hip	Aged	chr10	0.0414	3740742	90354712
HipA4	Hip	Aged	chr11	0.0373	3369228	90354712
HipA4	Hip	Aged	chr12	0.0388	3506291	90354712
HipA4	Hip	Aged	chr13	0.0392	3540630	90354712
HipA4	Hip	Aged	chr14	0.0422	3809152	90354712
HipA4	Hip	Aged	chr15	0.0348	3148393	90354712
HipA4	Hip	Aged	chr16	0.0274	2474086	90354712
HipA4	Hip	Aged	chr17	0.0282	2546006	90354712
HipA4	Hip	Aged	chr18	0.0247	2233209	90354712
HipA4	Hip	Aged	chr19	0.0158	1426729	90354712
HipA4	Hip	Aged	chrM	0.23	20784284	90354712
HipA4	Hip	Aged	chrX	0.0318	2871133	90354712
HipA4	Hip	Aged	chrY	0.0089	801793	90354712
HipA4	Hip	Aged	UnMapped	0.18469999999999998	20464476	90354712
HipA5	Hip	Aged	chr1	0.0979	11178852	114150921
HipA5	Hip	Aged	chr2	0.0932	10636269	114150921
HipA5	Hip	Aged	chr3	0.0497	5671103	114150921
HipA5	Hip	Aged	chr4	0.0545	6216979	114150921
HipA5	Hip	Aged	chr5	0.052	5939041	114150921
HipA5	Hip	Aged	chr6	0.0525	5998037	114150921
HipA5	Hip	Aged	chr7	0.0495	5652333	114150921
HipA5	Hip	Aged	chr8	0.0431	4916504	114150921
HipA5	Hip	Aged	chr9	0.0526	6009970	114150921
HipA5	Hip	Aged	chr10	0.0358	4087927	114150921
HipA5	Hip	Aged	chr11	0.0406	4635248	114150921
HipA5	Hip	Aged	chr12	0.0458	5232433	114150921
HipA5	Hip	Aged	chr13	0.0449	5121197	114150921
HipA5	Hip	Aged	chr14	0.0433	4937401	114150921
HipA5	Hip	Aged	chr15	0.0376	4297649	114150921
HipA5	Hip	Aged	chr16	0.0319	3636288	114150921
HipA5	Hip	Aged	chr17	0.0387	4415078	114150921
HipA5	Hip	Aged	chr18	0.0291	3316921	114150921
HipA5	Hip	Aged	chr19	0.0195	2230157	114150921
HipA5	Hip	Aged	chrM	0.1721	19649332	114150921
HipA5	Hip	Aged	chrX	0.0285	3253918	114150921
HipA5	Hip	Aged	chrY	0.0121	1380687	114150921
HipA5	Hip	Aged	UnMapped	0.14439999999999997	19267479	114150921
HipA6	Hip	Aged	chr1	0.0908	8457409	93191028
HipA6	Hip	Aged	chr2	0.0726	6764661	93191028
HipA6	Hip	Aged	chr3	0.0539	5019042	93191028
HipA6	Hip	Aged	chr4	0.0544	5065679	93191028
HipA6	Hip	Aged	chr5	0.0571	5325143	93191028
HipA6	Hip	Aged	chr6	0.0487	4536550	93191028
HipA6	Hip	Aged	chr7	0.0535	4983987	93191028
HipA6	Hip	Aged	chr8	0.0464	4327784	93191028
HipA6	Hip	Aged	chr9	0.0644	6002802	93191028
HipA6	Hip	Aged	chr10	0.0449	4185192	93191028
HipA6	Hip	Aged	chr11	0.0458	4264490	93191028
HipA6	Hip	Aged	chr12	0.0465	4333497	93191028
HipA6	Hip	Aged	chr13	0.0472	4394539	93191028
HipA6	Hip	Aged	chr14	0.0479	4463456	93191028
HipA6	Hip	Aged	chr15	0.0335	3123727	93191028
HipA6	Hip	Aged	chr16	0.0385	3584053	93191028
HipA6	Hip	Aged	chr17	0.0353	3286095	93191028
HipA6	Hip	Aged	chr18	0.0386	3597161	93191028
HipA6	Hip	Aged	chr19	0.0201	1870733	93191028
HipA6	Hip	Aged	chrM	0.1306	12168382	93191028
HipA6	Hip	Aged	chrX	0.0303	2821158	93191028
HipA6	Hip	Aged	chrY	0.0109	1016415	93191028
HipA6	Hip	Aged	UnMapped	0.14549999999999996	15865280	93191028
HipA7	Hip	Aged	chr1	0.098	8709332	88890291
HipA7	Hip	Aged	chr2	0.0695	6179628	88890291
HipA7	Hip	Aged	chr3	0.0559	4966529	88890291
HipA7	Hip	Aged	chr4	0.0482	4286648	88890291
HipA7	Hip	Aged	chr5	0.0515	4573611	88890291
HipA7	Hip	Aged	chr6	0.0561	4985616	88890291
HipA7	Hip	Aged	chr7	0.0567	5038907	88890291
HipA7	Hip	Aged	chr8	0.0443	3935234	88890291
HipA7	Hip	Aged	chr9	0.0522	4643900	88890291
HipA7	Hip	Aged	chr10	0.0425	3782224	88890291
HipA7	Hip	Aged	chr11	0.0369	3283391	88890291
HipA7	Hip	Aged	chr12	0.0498	4425081	88890291
HipA7	Hip	Aged	chr13	0.0442	3929582	88890291
HipA7	Hip	Aged	chr14	0.0492	4376829	88890291
HipA7	Hip	Aged	chr15	0.0316	2807250	88890291
HipA7	Hip	Aged	chr16	0.0344	3057127	88890291
HipA7	Hip	Aged	chr17	0.0434	3857518	88890291
HipA7	Hip	Aged	chr18	0.0364	3236526	88890291
HipA7	Hip	Aged	chr19	0.0299	2661195	88890291
HipA7	Hip	Aged	chrM	0.1349	11992102	88890291
HipA7	Hip	Aged	chrX	0.038	3374285	88890291
HipA7	Hip	Aged	chrY	0.0116	1030437	88890291
HipA7	Hip	Aged	UnMapped	0.18359999999999999	19985427	88890291
HipY1	Hip	Young	chr1	0.1053	10898600	103490175
HipY1	Hip	Young	chr2	0.0611	6319696	103490175
HipY1	Hip	Young	chr3	0.0514	5315775	103490175
HipY1	Hip	Young	chr4	0.0507	5248978	103490175
HipY1	Hip	Young	chr5	0.0484	5010595	103490175
HipY1	Hip	Young	chr6	0.0445	4608963	103490175
HipY1	Hip	Young	chr7	0.048	4970734	103490175
HipY1	Hip	Young	chr8	0.037	3831331	103490175
HipY1	Hip	Young	chr9	0.0393	4063082	103490175
HipY1	Hip	Young	chr10	0.0419	4337736	103490175
HipY1	Hip	Young	chr11	0.0328	3398002	103490175
HipY1	Hip	Young	chr12	0.0392	4054095	103490175
HipY1	Hip	Young	chr13	0.0365	3772804	103490175
HipY1	Hip	Young	chr14	0.0445	4606851	103490175
HipY1	Hip	Young	chr15	0.0291	3008495	103490175
HipY1	Hip	Young	chr16	0.0351	3629671	103490175
HipY1	Hip	Young	chr17	0.0266	2756206	103490175
HipY1	Hip	Young	chr18	0.0274	2839638	103490175
HipY1	Hip	Young	chr19	0.0198	2048688	103490175
HipY1	Hip	Young	chrM	0.233	24115467	103490175
HipY1	Hip	Young	chrX	0.0316	3268244	103490175
HipY1	Hip	Young	chrY	0.0135	1394933	103490175
HipY1	Hip	Young	UnMapped	0.14490000000000003	17536951	103490175
HipY2	Hip	Young	chr1	0.1188	10464198	88085123
HipY2	Hip	Young	chr2	0.0523	4604661	88085123
HipY2	Hip	Young	chr3	0.0395	3480998	88085123
HipY2	Hip	Young	chr4	0.0398	3504943	88085123
HipY2	Hip	Young	chr5	0.0407	3582689	88085123
HipY2	Hip	Young	chr6	0.0339	2986398	88085123
HipY2	Hip	Young	chr7	0.0386	3400962	88085123
HipY2	Hip	Young	chr8	0.0339	2988403	88085123
HipY2	Hip	Young	chr9	0.0293	2580828	88085123
HipY2	Hip	Young	chr10	0.0371	3270681	88085123
HipY2	Hip	Young	chr11	0.042	3697610	88085123
HipY2	Hip	Young	chr12	0.0282	2487095	88085123
HipY2	Hip	Young	chr13	0.0429	3775787	88085123
HipY2	Hip	Young	chr14	0.0302	2656387	88085123
HipY2	Hip	Young	chr15	0.026	2291913	88085123
HipY2	Hip	Young	chr16	0.0243	2138992	88085123
HipY2	Hip	Young	chr17	0.025	2198127	88085123
HipY2	Hip	Young	chr18	0.0226	1986771	88085123
HipY2	Hip	Young	chr19	0.0154	1353719	88085123
HipY2	Hip	Young	chrM	0.3451	30395300	88085123
HipY2	Hip	Young	chrX	0.0273	2406251	88085123
HipY2	Hip	Young	chrY	0.0108	947689	88085123
HipY2	Hip	Young	UnMapped	0.0020999999999999908	189063	88085123
HipY3	Hip	Young	chr1	0.1054	12885764	122307764
HipY3	Hip	Young	chr2	0.0603	7376960	122307764
HipY3	Hip	Young	chr3	0.0475	5810177	122307764
HipY3	Hip	Young	chr4	0.0586	7166631	122307764
HipY3	Hip	Young	chr5	0.048	5874986	122307764
HipY3	Hip	Young	chr6	0.0408	4987042	122307764
HipY3	Hip	Young	chr7	0.0456	5575096	122307764
HipY3	Hip	Young	chr8	0.0377	4608161	122307764
HipY3	Hip	Young	chr9	0.0409	5004945	122307764
HipY3	Hip	Young	chr10	0.0353	4314995	122307764
HipY3	Hip	Young	chr11	0.0394	4820100	122307764
HipY3	Hip	Young	chr12	0.0409	4997347	122307764
HipY3	Hip	Young	chr13	0.0383	4686303	122307764
HipY3	Hip	Young	chr14	0.0404	4941705	122307764
HipY3	Hip	Young	chr15	0.0297	3634351	122307764
HipY3	Hip	Young	chr16	0.0291	3564560	122307764
HipY3	Hip	Young	chr17	0.03	3665629	122307764
HipY3	Hip	Young	chr18	0.0269	3290178	122307764
HipY3	Hip	Young	chr19	0.0192	2344396	122307764
HipY3	Hip	Young	chrM	0.2647	32375796	122307764
HipY3	Hip	Young	chrX	0.0263	3215327	122307764
HipY3	Hip	Young	chrY	0.0121	1482293	122307764
HipY3	Hip	Young	UnMapped	0.021100000000000008	2641302	122307764
HipY4	Hip	Young	chr1	0.0877	9186185	104798355
HipY4	Hip	Young	chr2	0.0748	7838982	104798355
HipY4	Hip	Young	chr3	0.0587	6146965	104798355
HipY4	Hip	Young	chr4	0.0525	5505817	104798355
HipY4	Hip	Young	chr5	0.0549	5751470	104798355
HipY4	Hip	Young	chr6	0.0516	5403833	104798355
HipY4	Hip	Young	chr7	0.0522	5468182	104798355
HipY4	Hip	Young	chr8	0.0446	4676831	104798355
HipY4	Hip	Young	chr9	0.0566	5935364	104798355
HipY4	Hip	Young	chr10	0.0467	4894788	104798355
HipY4	Hip	Young	chr11	0.0504	5279998	104798355
HipY4	Hip	Young	chr12	0.0427	4476988	104798355
HipY4	Hip	Young	chr13	0.0491	5147685	104798355
HipY4	Hip	Young	chr14	0.0446	4675952	104798355
HipY4	Hip	Young	chr15	0.0346	3630181	104798355
HipY4	Hip	Young	chr16	0.0323	3384150	104798355
HipY4	Hip	Young	chr17	0.0321	3365333	104798355
HipY4	Hip	Young	chr18	0.0298	3121071	104798355
HipY4	Hip	Young	chr19	0.0222	2329480	104798355
HipY4	Hip	Young	chrM	0.1594	16703156	104798355
HipY4	Hip	Young	chrX	0.0327	3430108	104798355
HipY4	Hip	Young	chrY	0.0125	1307387	104798355
HipY4	Hip	Young	UnMapped	0.009600000000000053	1011623	104798355
HipY5	Hip	Young	chr1	0.0887	10521003	118566588
HipY5	Hip	Young	chr2	0.0678	8041728	118566588
HipY5	Hip	Young	chr3	0.0655	7762484	118566588
HipY5	Hip	Young	chr4	0.0524	6209564	118566588
HipY5	Hip	Young	chr5	0.0554	6563052	118566588
HipY5	Hip	Young	chr6	0.0554	6563053	118566588
HipY5	Hip	Young	chr7	0.0475	5631473	118566588
HipY5	Hip	Young	chr8	0.0434	5147444	118566588
HipY5	Hip	Young	chr9	0.0454	5388081	118566588
HipY5	Hip	Young	chr10	0.0449	5323192	118566588
HipY5	Hip	Young	chr11	0.0609	7220677	118566588
HipY5	Hip	Young	chr12	0.0466	5527670	118566588
HipY5	Hip	Young	chr13	0.0405	4799300	118566588
HipY5	Hip	Young	chr14	0.0366	4342998	118566588
HipY5	Hip	Young	chr15	0.0337	3991263	118566588
HipY5	Hip	Young	chr16	0.0308	3652169	118566588
HipY5	Hip	Young	chr17	0.0344	4078394	118566588
HipY5	Hip	Young	chr18	0.0346	4100019	118566588
HipY5	Hip	Young	chr19	0.0196	2324214	118566588
HipY5	Hip	Young	chrM	0.1712	20293078	118566588
HipY5	Hip	Young	chrX	0.03	3553508	118566588
HipY5	Hip	Young	chrY	0.0148	1757596	118566588
HipY5	Hip	Young	UnMapped	0.007099999999999995	847924	118566588
HipY6	Hip	Young	chr1	0.0814	12758866	156811618
HipY6	Hip	Young	chr2	0.0777	12187327	156811618
HipY6	Hip	Young	chr3	0.0674	10562873	156811618
HipY6	Hip	Young	chr4	0.0534	8369678	156811618
HipY6	Hip	Young	chr5	0.0671	10524935	156811618
HipY6	Hip	Young	chr6	0.0612	9597713	156811618
HipY6	Hip	Young	chr7	0.0499	7828682	156811618
HipY6	Hip	Young	chr8	0.0498	7802786	156811618
HipY6	Hip	Young	chr9	0.0681	10679127	156811618
HipY6	Hip	Young	chr10	0.052	8159511	156811618
HipY6	Hip	Young	chr11	0.0542	8502531	156811618
HipY6	Hip	Young	chr12	0.05	7834598	156811618
HipY6	Hip	Young	chr13	0.0439	6891791	156811618
HipY6	Hip	Young	chr14	0.0422	6621162	156811618
HipY6	Hip	Young	chr15	0.0453	7108142	156811618
HipY6	Hip	Young	chr16	0.0343	5376031	156811618
HipY6	Hip	Young	chr17	0.0327	5121565	156811618
HipY6	Hip	Young	chr18	0.0351	5500964	156811618
HipY6	Hip	Young	chr19	0.0244	3824136	156811618
HipY6	Hip	Young	chrM	0.1005	15762086	156811618
HipY6	Hip	Young	chrX	0.0282	4429508	156811618
HipY6	Hip	Young	chrY	0.0222	3479747	156811618
HipY6	Hip	Young	UnMapped	0.008199999999999985	1295966	156811618
HipY7	Hip	Young	chr1	0.0788	11132938	141294336
HipY7	Hip	Young	chr2	0.0884	12483774	141294336
HipY7	Hip	Young	chr3	0.0514	7264972	141294336
HipY7	Hip	Young	chr4	0.05	7059014	141294336
HipY7	Hip	Young	chr5	0.077	10874084	141294336
HipY7	Hip	Young	chr6	0.0683	9645929	141294336
HipY7	Hip	Young	chr7	0.0556	7852016	141294336
HipY7	Hip	Young	chr8	0.052	7353605	141294336
HipY7	Hip	Young	chr9	0.0587	8299986	141294336
HipY7	Hip	Young	chr10	0.0502	7091214	141294336
HipY7	Hip	Young	chr11	0.0507	7167239	141294336
HipY7	Hip	Young	chr12	0.0449	6344145	141294336
HipY7	Hip	Young	chr13	0.0565	7985269	141294336
HipY7	Hip	Young	chr14	0.0433	6124950	141294336
HipY7	Hip	Young	chr15	0.054	7636634	141294336
HipY7	Hip	Young	chr16	0.0411	5812973	141294336
HipY7	Hip	Young	chr17	0.0412	5825021	141294336
HipY7	Hip	Young	chr18	0.0351	4959012	141294336
HipY7	Hip	Young	chr19	0.0273	3853642	141294336
HipY7	Hip	Young	chrM	0.061	8612557	141294336
HipY7	Hip	Young	chrX	0.0309	4359420	141294336
HipY7	Hip	Young	chrY	0.0236	3339502	141294336
HipY7	Hip	Young	UnMapped	0.02070000000000005	2992378	141294336
MusA1	Mus	Aged	chr1	0.0681	3419333	50178900
MusA1	Mus	Aged	chr2	0.1282	6433053	50178900
MusA1	Mus	Aged	chr3	0.0649	3254239	50178900
MusA1	Mus	Aged	chr4	0.0652	3272917	50178900
MusA1	Mus	Aged	chr5	0.0432	2165852	50178900
MusA1	Mus	Aged	chr6	0.0476	2386047	50178900
MusA1	Mus	Aged	chr7	0.043	2156067	50178900
MusA1	Mus	Aged	chr8	0.0358	1796751	50178900
MusA1	Mus	Aged	chr9	0.0843	4230578	50178900
MusA1	Mus	Aged	chr10	0.0671	3365972	50178900
MusA1	Mus	Aged	chr11	0.0465	2331858	50178900
MusA1	Mus	Aged	chr12	0.0429	2153524	50178900
MusA1	Mus	Aged	chr13	0.0464	2330655	50178900
MusA1	Mus	Aged	chr14	0.0511	2564785	50178900
MusA1	Mus	Aged	chr15	0.0513	2574881	50178900
MusA1	Mus	Aged	chr16	0.0276	1385574	50178900
MusA1	Mus	Aged	chr17	0.032	1604897	50178900
MusA1	Mus	Aged	chr18	0.0322	1613707	50178900
MusA1	Mus	Aged	chr19	0.0222	1112150	50178900
MusA1	Mus	Aged	chrM	0.0534	2680894	50178900
MusA1	Mus	Aged	chrX	0.0304	1523279	50178900
MusA1	Mus	Aged	chrY	0.014	701437	50178900
MusA1	Mus	Aged	UnMapped	0.015700000000000047	802858	50178900
MusA2	Mus	Aged	chr1	0.0657	7640891	116231471
MusA2	Mus	Aged	chr2	0.1135	13187790	116231471
MusA2	Mus	Aged	chr3	0.0611	7100499	116231471
MusA2	Mus	Aged	chr4	0.0539	6268966	116231471
MusA2	Mus	Aged	chr5	0.0536	6228595	116231471
MusA2	Mus	Aged	chr6	0.056	6509968	116231471
MusA2	Mus	Aged	chr7	0.051	5925094	116231471
MusA2	Mus	Aged	chr8	0.0439	5106930	116231471
MusA2	Mus	Aged	chr9	0.0712	8270440	116231471
MusA2	Mus	Aged	chr10	0.0486	5650441	116231471
MusA2	Mus	Aged	chr11	0.0376	4367106	116231471
MusA2	Mus	Aged	chr12	0.0527	6128764	116231471
MusA2	Mus	Aged	chr13	0.0884	10273981	116231471
MusA2	Mus	Aged	chr14	0.0442	5132371	116231471
MusA2	Mus	Aged	chr15	0.0358	4155523	116231471
MusA2	Mus	Aged	chr16	0.0258	3003238	116231471
MusA2	Mus	Aged	chr17	0.0658	7646665	116231471
MusA2	Mus	Aged	chr18	0.0583	6780326	116231471
MusA2	Mus	Aged	chr19	0.0144	1675691	116231471
MusA2	Mus	Aged	chrM	0.0341	3964510	116231471
MusA2	Mus	Aged	chrX	0.0489	5687278	116231471
MusA2	Mus	Aged	chrY	0.0159	1850805	116231471
MusA2	Mus	Aged	UnMapped	0.013499999999999956	1594563	116231471
MusA3	Mus	Aged	chr1	0.0953	6975104	73188976
MusA3	Mus	Aged	chr2	0.0753	5508922	73188976
MusA3	Mus	Aged	chr3	0.0736	5383692	73188976
MusA3	Mus	Aged	chr4	0.0668	4887552	73188976
MusA3	Mus	Aged	chr5	0.049	3584595	73188976
MusA3	Mus	Aged	chr6	0.0642	4699485	73188976
MusA3	Mus	Aged	chr7	0.0663	4854550	73188976
MusA3	Mus	Aged	chr8	0.0474	3469981	73188976
MusA3	Mus	Aged	chr9	0.0841	6151555	73188976
MusA3	Mus	Aged	chr10	0.0611	4468697	73188976
MusA3	Mus	Aged	chr11	0.0474	3467492	73188976
MusA3	Mus	Aged	chr12	0.0478	3496766	73188976
MusA3	Mus	Aged	chr13	0.0629	4606004	73188976
MusA3	Mus	Aged	chr14	0.0628	4599921	73188976
MusA3	Mus	Aged	chr15	0.0296	2169068	73188976
MusA3	Mus	Aged	chr16	0.0226	1655617	73188976
MusA3	Mus	Aged	chr17	0.023	1686989	73188976
MusA3	Mus	Aged	chr18	0.0304	2227778	73188976
MusA3	Mus	Aged	chr19	0.0242	1769798	73188976
MusA3	Mus	Aged	chrM	0.0483	3533639	73188976
MusA3	Mus	Aged	chrX	0.0258	1890037	73188976
MusA3	Mus	Aged	chrY	0.0152	1112183	73188976
MusA3	Mus	Aged	UnMapped	0.021399999999999975	1599404	73188976
MusA4	Mus	Aged	chr1	0.0899	8064185	89666427
MusA4	Mus	Aged	chr2	0.1148	10292997	89666427
MusA4	Mus	Aged	chr3	0.0717	6426411	89666427
MusA4	Mus	Aged	chr4	0.0492	4415935	89666427
MusA4	Mus	Aged	chr5	0.049	4389618	89666427
MusA4	Mus	Aged	chr6	0.0508	4555857	89666427
MusA4	Mus	Aged	chr7	0.0508	4554303	89666427
MusA4	Mus	Aged	chr8	0.0342	3067098	89666427
MusA4	Mus	Aged	chr9	0.0683	6125015	89666427
MusA4	Mus	Aged	chr10	0.0531	4758305	89666427
MusA4	Mus	Aged	chr11	0.0415	3723311	89666427
MusA4	Mus	Aged	chr12	0.0395	3537724	89666427
MusA4	Mus	Aged	chr13	0.0714	6405169	89666427
MusA4	Mus	Aged	chr14	0.0421	3776225	89666427
MusA4	Mus	Aged	chr15	0.0649	5815997	89666427
MusA4	Mus	Aged	chr16	0.0352	3154566	89666427
MusA4	Mus	Aged	chr17	0.0362	3248405	89666427
MusA4	Mus	Aged	chr18	0.0277	2488073	89666427
MusA4	Mus	Aged	chr19	0.0208	1861596	89666427
MusA4	Mus	Aged	chrM	0.063	5647952	89666427
MusA4	Mus	Aged	chrX	0.027	2422240	89666427
MusA4	Mus	Aged	chrY	0.011	986515	89666427
MusA4	Mus	Aged	UnMapped	0.00539999999999996	491337	89666427
MusA5	Mus	Aged	chr1	0.0764	7157279	93670386
MusA5	Mus	Aged	chr2	0.0859	8045592	93670386
MusA5	Mus	Aged	chr3	0.0766	7174835	93670386
MusA5	Mus	Aged	chr4	0.0591	5538984	93670386
MusA5	Mus	Aged	chr5	0.0618	5787428	93670386
MusA5	Mus	Aged	chr6	0.0818	7666094	93670386
MusA5	Mus	Aged	chr7	0.0477	4467210	93670386
MusA5	Mus	Aged	chr8	0.0508	4758095	93670386
MusA5	Mus	Aged	chr9	0.0718	6729130	93670386
MusA5	Mus	Aged	chr10	0.0498	4664590	93670386
MusA5	Mus	Aged	chr11	0.0569	5331986	93670386
MusA5	Mus	Aged	chr12	0.0518	4851174	93670386
MusA5	Mus	Aged	chr13	0.0496	4643031	93670386
MusA5	Mus	Aged	chr14	0.0803	7521673	93670386
MusA5	Mus	Aged	chr15	0.032	2997947	93670386
MusA5	Mus	Aged	chr16	0.034	3189227	93670386
MusA5	Mus	Aged	chr17	0.0293	2743715	93670386
MusA5	Mus	Aged	chr18	0.0342	3207297	93670386
MusA5	Mus	Aged	chr19	0.0154	1444217	93670386
MusA5	Mus	Aged	chrM	0.0362	3389071	93670386
MusA5	Mus	Aged	chrX	0.0229	2145624	93670386
